,0.1,0.05,0.01
DGX,-0.014621248947997451,-0.018902340836041056,-0.026932957237348065
AMZN,-0.022067921135634053,-0.028662001209160824,-0.04103139877754501
RL,-0.026338395910832438,-0.033882502053350486,-0.04803399053004197
BXP,-0.014057085634549972,-0.018083522850913115,-0.025636449439306274
CHRW,-0.017458199490568895,-0.022502175059608203,-0.03196383437265548
VRSN,-0.01782033325433557,-0.02312944430940269,-0.03308845370003414
AMT,-0.013692525204245213,-0.01783709438776569,-0.025611616900231823
CTSH,-0.019827053897747585,-0.02549558499124257,-0.03612880659946699
EBAY,-0.021286762319786885,-0.027440334603754092,-0.03898341281897972
GS,-0.01839668239112363,-0.023717838348264294,-0.033699441972019795
NVDA,-0.03393384524208088,-0.04422378777141937,-0.06352600865469384
JNPR,-0.021808920364447527,-0.028003078610332178,-0.03962228934033688
AKAM,-0.02458695802929282,-0.03175376585104111,-0.04519750542577106
EXPE,-0.024243397336539612,-0.031135082863144793,-0.044062738767278474
A,-0.018101484467280906,-0.023468796235404286,-0.033536980484473775
MET,-0.019780344912280833,-0.025443227476978754,-0.03606585338457652
ISRG,-0.033094272897709706,-0.04265596285077938,-0.06059210301534473
MCO,-0.016200270673020416,-0.02106606645384743,-0.030193490116967328
TPR,-0.026838738836186565,-0.034454280000610085,-0.04873976869816669
MDLZ,-0.015461037990671608,-0.01992812467427699,-0.028307636379599245
PRU,-0.019130869095237313,-0.024630846718719596,-0.03494789004902349
ZBH,-0.017382377403542523,-0.02244579142014129,-0.031943914028036986
ANTM,-0.018298779882635584,-0.023742810911549495,-0.03395490773482027
PFG,-0.0190949146372387,-0.024602741810869966,-0.03493450959180884
CME,-0.014454491835754752,-0.018800389489189096,-0.0269525707286393
NDAQ,-0.014447952950584582,-0.018741845761270498,-0.026796474564556156
AIZ,-0.01650807574205672,-0.02135488908749038,-0.030446704858746922
CRM,-0.023209211385122892,-0.03004824169546324,-0.04287712517087804
MA,-0.016691915410341877,-0.021771374993842414,-0.031299596416736575
GOOGL,-0.01789186049824308,-0.023152053669579724,-0.033019301245777725
ICE,-0.03573229714030398,-0.04582386141525653,-0.06475395768523232
CF,-0.030917901585580974,-0.039813633539651505,-0.05650054725236694
AMP,-0.020701754665688247,-0.026741498053919576,-0.03807105219142284
FIS,-0.01393047578685719,-0.018136552741399154,-0.026026453603055246
WU,-0.01634773822665099,-0.021124923579207797,-0.030086128815533145
DFS,-0.01716268535585986,-0.022188678245427324,-0.031616605042452374
PM,-0.016814383979399737,-0.02160208919165344,-0.030583027935231297
CBRE,-0.02016814370800198,-0.02608963353005957,-0.037197363643957995
ABT,-0.015348881856264894,-0.019913644907983134,-0.028476381235504663
HON,-0.012859894798496767,-0.016676912601350805,-0.023837003198165452
AEP,-0.011693656789245298,-0.015159168798614802,-0.02165989298514637
BA,-0.02091034902392298,-0.027115006336988132,-0.038753911570942545
BMY,-0.020526465399240777,-0.026366282413268324,-0.03732080792215964
CPB,-0.019166186588551664,-0.024616620849573022,-0.034840729071367385
CAT,-0.02140549920918825,-0.027739865588382897,-0.03962208345871563
CVX,-0.016026285789299318,-0.02067415103441537,-0.029392773256175456
KO,-0.010749834965458357,-0.013882670101822241,-0.0197593478014854
CL,-0.013001394253496622,-0.016716122834133287,-0.023684335861604015
ED,-0.011715060766756937,-0.015146228646476523,-0.021582528957495038
GLW,-0.018848069702516988,-0.024358165639667494,-0.03469418924365449
DE,-0.02013446762127464,-0.0261154187540364,-0.037334688397912624
DTE,-0.01177055021363904,-0.015257568676779349,-0.021798635393885445
D,-0.012064502482858336,-0.015555787232275829,-0.022104856792919552
ETN,-0.016782596831929005,-0.021740331299937292,-0.031040216650052185
XOM,-0.014410193361293984,-0.018480399684486466,-0.026115429838130325
F,-0.019172227007536624,-0.02452380033191364,-0.0345624618779471
GD,-0.01578894754313256,-0.020360810131413765,-0.02893686400881632
GE,-0.027400453007171078,-0.03494050670645513,-0.04908439347359413
HAL,-0.02545843990056142,-0.03263784068548185,-0.04610520256480977
HSY,-0.014700303294524254,-0.019031393553343854,-0.02715579858308785
IBM,-0.015591083095051958,-0.020025641075639502,-0.028344134343890152
IP,-0.01852006933409273,-0.023859863896901843,-0.033876430445138495
K,-0.01558407668532891,-0.020011671182152642,-0.0283171021129468
KMB,-0.014616376492341782,-0.018802616015890648,-0.026655305156131025
KR,-0.02614087970844846,-0.0335122018117401,-0.04733957616624443
SPGI,-0.015329697015051949,-0.019990543387914134,-0.028733516046458043
CVS,-0.02054662437608044,-0.026332243426753898,-0.03718510256995837
MRK,-0.014679634352566192,-0.019018901843152202,-0.027158645999749334
ETR,-0.012306553392101686,-0.015968766806913295,-0.02283847011699864
MMM,-0.015133435416442837,-0.019491654166943147,-0.027666947735389687
MSI,-0.015095496559810163,-0.019641416335224517,-0.028168805810191225
NSC,-0.018018204874565062,-0.02339355892144849,-0.03347682914797496
